date_time,Average PMV,Habitability,Habitability?
2021-01-16 07:00:00,-4.283510561560527,H,NH
2021-01-16 08:00:00,-4.291546707000058,H,NH
2021-01-16 09:00:00,-4.266621932151643,H,NH
2021-01-16 10:00:00,-4.249576492821904,H,NH
2021-01-16 11:00:00,-4.19516767646851,H,NH
2021-01-16 12:00:00,-4.093209412906384,H,NH
2021-01-16 13:00:00,-4.050727801545196,H,NH
2021-01-16 14:00:00,-3.9584273374233288,H,NH
2021-01-16 15:00:00,-3.9971035620257473,H,NH
2021-01-16 16:00:00,-4.018846727704044,H,NH
2021-01-16 17:00:00,-4.065347192875678,H,NH
2021-01-16 18:00:00,-4.102137851012121,H,NH
2021-01-16 19:00:00,-4.150958487834988,H,NH
2021-01-16 20:00:00,-4.183329067615863,H,NH
2021-01-16 21:00:00,-4.229970962375964,H,NH
2021-01-16 22:00:00,-4.283712479870176,H,NH
2021-01-16 23:00:00,-4.3150681853707304,H,NH
2021-01-17 00:00:00,-4.337067278657005,H,NH
2021-01-17 01:00:00,-4.355665957837963,H,NH
2021-01-17 02:00:00,-4.376778456908478,H,NH
2021-01-17 03:00:00,-4.395074180282426,H,NH
2021-01-17 04:00:00,-4.409923730929096,H,NH
2021-01-17 05:00:00,-4.428885090200044,H,NH
2021-01-17 06:00:00,-4.4401754607092245,H,NH
2021-01-17 07:00:00,-4.449313800397955,H,NH
2021-01-17 08:00:00,-4.459250365767029,H,NH
2021-01-17 09:00:00,-4.453717764818063,H,NH
2021-01-17 10:00:00,-4.437941976936455,H,NH
2021-01-17 11:00:00,-4.354855871516599,H,NH
2021-01-17 12:00:00,-4.251386271798654,H,NH
2021-01-17 13:00:00,-4.222716312968096,H,NH
2021-01-17 14:00:00,-4.209399935785997,H,NH
2021-01-17 15:00:00,-4.20222364636776,H,NH
2021-01-17 16:00:00,-4.210151791986871,H,NH
2021-01-17 17:00:00,-4.232721908110038,H,NH
2021-01-17 18:00:00,-4.270862261655485,H,NH
2021-01-17 19:00:00,-4.302333523769081,H,NH
2021-01-17 20:00:00,-4.328036475265794,H,NH
2021-01-17 21:00:00,-4.341029546170798,H,NH
2021-01-17 22:00:00,-4.356809297799292,H,NH
2021-01-17 23:00:00,-4.366107629499939,H,NH
2021-01-18 00:00:00,-4.374116204757901,H,NH
2021-01-18 01:00:00,-4.333270117856139,H,NH
2021-01-18 02:00:00,-4.255165269904463,H,NH
2021-01-18 03:00:00,-4.201252515835202,H,NH
2021-01-18 04:00:00,-4.177003344468239,H,NH
2021-01-18 05:00:00,-4.153771373543605,H,NH
2021-01-18 06:00:00,-4.1454225676323615,H,NH
2021-01-18 07:00:00,-4.144992439040467,H,NH
2021-01-18 08:00:00,-4.142933267855766,H,NH
2021-01-18 09:00:00,-4.131973430161473,H,NH
2021-01-18 10:00:00,-4.12417227615114,H,NH
2021-01-18 11:00:00,-4.068908293618864,H,NH
2021-01-18 12:00:00,-3.9755751471291227,H,NH
2021-01-18 13:00:00,-3.895947450760861,H,NH
2021-01-18 14:00:00,-3.8281675901829417,H,NH
2021-01-18 15:00:00,-3.8065124282692664,H,NH
2021-01-18 16:00:00,-3.8380373676402963,H,NH
2021-01-18 17:00:00,-3.8923919901619457,H,NH
2021-01-18 18:00:00,-3.954230547250557,H,NH
2021-01-18 19:00:00,-3.995659859364046,H,NH
2021-01-18 20:00:00,-4.028374349648858,H,NH
2021-01-18 21:00:00,-4.0770928000976525,H,NH
2021-01-18 22:00:00,-4.10435454747044,H,NH
2021-01-18 23:00:00,-4.131207090450464,H,NH
2021-01-19 00:00:00,-4.154794596251335,H,NH
2021-01-19 01:00:00,-4.1711072836183005,H,NH
2021-01-19 02:00:00,-4.173373157429688,H,NH
2021-01-19 03:00:00,-4.170321709953313,H,NH
2021-01-19 04:00:00,-4.181103975441021,H,NH
2021-01-19 05:00:00,-4.198878599781138,H,NH
2021-01-19 06:00:00,-4.207538890950377,H,NH
2021-01-19 07:00:00,-4.2265779033605435,H,NH
2021-01-19 08:00:00,-4.236410182768558,H,NH
2021-01-19 09:00:00,-4.248567561307211,H,NH
2021-01-19 10:00:00,-4.2545278686080925,H,NH
2021-01-19 11:00:00,-4.2045446055285405,H,NH
2021-01-19 12:00:00,-4.143091065015433,H,NH
2021-01-19 13:00:00,-4.060138012391936,H,NH
2021-01-19 14:00:00,-3.9931423563281356,H,NH
2021-01-19 15:00:00,-3.9747255079534525,H,NH
2021-01-19 16:00:00,-3.9928024851310426,H,NH
2021-01-19 17:00:00,-4.047248900410857,H,NH
2021-01-19 18:00:00,-4.097552458058833,H,NH
2021-01-19 19:00:00,-4.131607928296984,H,NH
2021-01-19 20:00:00,-4.17332757313777,H,NH
2021-01-19 21:00:00,-4.1964713891646985,H,NH
2021-01-19 22:00:00,-4.21644363429802,H,NH
2021-01-19 23:00:00,-4.231368111324085,H,NH
2021-01-20 00:00:00,-4.235310599431153,H,NH
2021-01-20 01:00:00,-4.237624342563188,H,NH
